old_name	read_filename	metaG_T	mapping_id	PANGAEA_ID
TARA_131_DCM_0.22-3_T	BEZ_AIPAOSW_6_C8P3BACXX.IND6_noribo_clean.screened.tara.adapters.pair.1.fq.gz	metaT	BEZ_AIPAOSW_6_C8P3BACXX.IND6	TARA_B100000639
TARA_131_DCM_0.22-3_T	BEZ_AIPAOSW_7_C8P3BACXX.IND6_noribo_clean.screened.tara.adapters.pair.1.fq.gz	metaT	BEZ_AIPAOSW_7_C8P3BACXX.IND6	TARA_B100000639
TARA_131_MES_0.22-3_T	BEZ_AIQAOSW_1_C8P3BACXX.IND7_noribo_clean.screened.tara.adapters.pair.1.fq.gz	metaT	BEZ_AIQAOSW_1_C8P3BACXX.IND7	TARA_B100000651
TARA_131_MES_0.22-3_T	BEZ_AIQAOSW_2_C8P3BACXX.IND7_noribo_clean.screened.tara.adapters.pair.1.fq.gz	metaT	BEZ_AIQAOSW_2_C8P3BACXX.IND7	TARA_B100000651
TARA_131_MES_0.22-3_T	BEZ_AIQAOSW_4_C8FB9ACXX.IND7_noribo_clean.screened.tara.adapters.pair.1.fq.gz	metaT	BEZ_AIQAOSW_4_C8FB9ACXX.IND7	TARA_B100000651
TARA_131_MES_0.22-3_T	BEZ_AIQAOSW_4_C8P3BACXX.IND7_noribo_clean.screened.tara.adapters.pair.1.fq.gz	metaT	BEZ_AIQAOSW_4_C8P3BACXX.IND7	TARA_B100000651
TARA_131_MES_0.22-3_T	BEZ_AIQAOSW_5_C8P3BACXX.IND7_noribo_clean.screened.tara.adapters.pair.1.fq.gz	metaT	BEZ_AIQAOSW_5_C8P3BACXX.IND7	TARA_B100000651
TARA_131_MES_0.22-3_T	BEZ_AIQAOSW_6_C8P3BACXX.IND7_noribo_clean.screened.tara.adapters.pair.1.fq.gz	metaT	BEZ_AIQAOSW_6_C8P3BACXX.IND7	TARA_B100000651
TARA_131_MES_0.22-3_T	BEZ_AIQAOSW_7_C8P3BACXX.IND7_noribo_clean.screened.tara.adapters.pair.1.fq.gz	metaT	BEZ_AIQAOSW_7_C8P3BACXX.IND7	TARA_B100000651
TARA_132_SRF_0.22-3_T	BEZ_AIRAOSW_1_C8P57ACXX.IND8_noribo_clean.screened.tara.adapters.pair.1.fq.gz	metaT	BEZ_AIRAOSW_1_C8P57ACXX.IND8	TARA_B100000658
